customer_id,signup_date,city,state,tier,gender,age_group,acquisition_channel,age of customers
1,24-11-2023,New Stephenbury,Utah,Tier-2,M,18-25,Referral,18
2,31-05-2025,Brandonborough,Arizona,Tier-2,O,46+,Ads,46
3,13-02-2025,Romanville,Oregon,Tier-3,F,46+,Organic,46
4,20-01-2024,Erikmouth,Idaho,Tier-1,M,18-25,Referral,18
5,12-11-2024,New Adrienneside,California,Tier-1,F,26-35,Ads,26
6,08-02-2025,Patrickport,Iowa,Tier-1,O,18-25,Ads,18
7,12-04-2025,East Jeffreymouth,Iowa,Tier-2,M,18-25,Organic,18
8,28-09-2025,Owenston,Illinois,Tier-1,O,36-45,Referral,36
9,05-10-2025,Bassbury,Nevada,Tier-1,M,26-35,Organic,26
10,19-08-2025,Stephanietown,Nebraska,Tier-3,M,36-45,Organic,36
11,13-10-2024,East Joe,Illinois,Tier-3,M,36-45,Ads,36
12,16-04-2024,North Roy,South Carolina,Tier-2,O,46+,Organic,46
13,24-09-2025,Kylemouth,Oklahoma,Tier-1,M,36-45,Organic,36
14,27-09-2023,South Jodi,Alabama,Tier-3,M,36-45,Ads,36
15,27-03-2024,East Steven,Rhode Island,Tier-2,F,18-25,Organic,18
16,27-02-2025,Mitchellland,North Dakota,Tier-3,M,36-45,Referral,36
17,20-01-2023,South Marilyn,New Hampshire,Tier-1,O,46+,Referral,46
18,22-10-2024,West Gregfurt,West Virginia,Tier-1,O,26-35,Referral,26
19,23-08-2025,New Sethhaven,Idaho,Tier-3,F,26-35,Organic,26
20,25-12-2023,Adamsstad,Idaho,Tier-3,F,36-45,Referral,36
21,21-10-2023,Monicaberg,Maine,Tier-2,F,18-25,Ads,18
22,20-12-2024,Riosburgh,New Mexico,Tier-3,O,46+,Organic,46
23,16-10-2024,Kingborough,Vermont,Tier-2,M,18-25,Organic,18
24,26-08-2025,Matthewchester,New Hampshire,Tier-3,M,36-45,Ads,36
25,13-12-2025,South Kimberly,North Carolina,Tier-2,M,26-35,Organic,26
26,10-01-2024,Ricardomouth,Alabama,Tier-3,M,36-45,Ads,36
27,10-03-2025,Longborough,Wyoming,Tier-2,O,26-35,Referral,26
28,24-08-2023,Whiteheadport,Rhode Island,Tier-1,O,36-45,Referral,36
29,05-08-2025,Seanborough,Arizona,Tier-2,F,26-35,Organic,26
30,21-10-2025,Bruceville,Maine,Tier-2,F,36-45,Ads,36
31,25-02-2023,Saraburgh,Florida,Tier-3,F,46+,Organic,46
32,01-07-2024,North Samantha,North Carolina,Tier-2,F,18-25,Organic,18
33,15-04-2024,East Sarah,Delaware,Tier-2,O,26-35,Ads,26
34,02-11-2025,Lake Meredith,Georgia,Tier-2,M,36-45,Ads,36
35,22-04-2024,Shannonhaven,Arkansas,Tier-1,F,36-45,Referral,36
36,15-01-2024,Ericview,Minnesota,Tier-2,O,26-35,Ads,26
37,28-06-2025,North Zacharyside,New Jersey,Tier-1,O,36-45,Ads,36
38,14-10-2023,New Ronaldberg,Connecticut,Tier-3,O,18-25,Referral,18
39,09-06-2024,Wheelerville,Hawaii,Tier-3,O,36-45,Organic,36
40,25-08-2023,Ramosview,Arkansas,Tier-2,F,26-35,Organic,26
41,25-03-2024,Lindseystad,Utah,Tier-3,F,26-35,Organic,26
42,27-11-2025,Francesmouth,Nebraska,Tier-3,O,26-35,Ads,26
43,11-02-2025,Lake Jerryland,New York,Tier-1,O,36-45,Referral,36
44,05-04-2023,Chadborough,North Dakota,Tier-3,M,26-35,Organic,26
45,22-03-2024,Karinaview,Hawaii,Tier-1,F,46+,Referral,46
46,16-05-2023,Andreview,Wyoming,Tier-1,O,46+,Ads,46
47,26-11-2024,South Kellymouth,Nevada,Tier-2,M,26-35,Organic,26
48,27-06-2024,Port Benjaminbury,Hawaii,Tier-1,M,18-25,Ads,18
49,16-02-2024,Mccormicktown,Colorado,Tier-3,M,46+,Ads,46
50,02-11-2024,Paulaberg,Arkansas,Tier-1,O,46+,Referral,46
51,26-01-2024,North Dustin,Idaho,Tier-3,O,36-45,Ads,36
52,15-06-2025,Beckerborough,Colorado,Tier-3,M,18-25,Referral,18
53,17-07-2024,Michaelville,Hawaii,Tier-2,M,18-25,Referral,18
54,11-09-2024,Lichester,Alabama,Tier-3,F,36-45,Ads,36
55,19-07-2025,Lake Rachaelmouth,Wyoming,Tier-2,O,36-45,Referral,36
56,04-10-2025,Matthewsberg,Minnesota,Tier-1,M,18-25,Ads,18
