order_id,promised_date,delivered_date,delivery_status
1,2024-05-24,2024-05-25,Delayed
2,2023-12-23,2023-12-24,Delayed
3,2023-02-21,2023-02-22,Delayed
4,2022-12-11,2022-12-11,On-Time
5,2022-06-14,2022-06-16,Delayed
6,2024-03-26,2024-03-26,On-Time
7,2022-05-28,2022-05-29,Delayed
8,2025-03-10,2025-03-10,On-Time
9,2024-11-14,2024-11-16,Delayed
10,2023-07-29,2023-07-30,Delayed
11,2023-10-11,2023-10-11,On-Time
12,2022-04-18,2022-04-19,Delayed
13,2024-12-11,2024-12-13,Delayed
14,2025-08-06,2025-08-06,On-Time
15,2024-12-31,2024-12-31,On-Time
16,2022-08-11,2022-08-13,Delayed
17,2022-09-02,2022-09-03,Delayed
18,2024-05-30,2024-06-01,Delayed
19,2022-11-19,2022-11-20,Delayed
20,2022-12-02,2022-12-02,On-Time
21,2025-01-07,2025-01-08,Delayed
22,2023-11-29,2023-11-30,Delayed
23,2024-10-29,2024-10-30,Delayed
24,2023-09-06,2023-09-06,On-Time
25,2022-10-27,2022-10-27,On-Time
26,2025-02-16,2025-02-18,Delayed
27,2022-08-14,2022-08-15,Delayed
28,2022-02-17,2022-02-19,Delayed
29,2022-07-25,2022-07-26,Delayed
30,2023-07-27,2023-07-28,Delayed
31,2024-05-11,2024-05-11,On-Time
32,2024-01-09,2024-01-09,On-Time
33,2024-07-04,2024-07-04,On-Time
34,2023-12-10,2023-12-12,Delayed
35,2025-12-29,2025-12-31,Delayed
36,2022-08-22,2022-08-23,Delayed
37,2023-10-19,2023-10-21,Delayed
38,2023-05-12,2023-05-13,Delayed
39,2024-08-10,2024-08-10,On-Time
40,2024-02-16,2024-02-17,Delayed
41,2023-07-28,2023-07-29,Delayed
42,2023-06-20,2023-06-20,On-Time
43,2024-11-25,2024-11-27,Delayed
44,2023-10-20,2023-10-21,Delayed
45,2024-07-04,2024-07-05,Delayed
46,2022-02-02,2022-02-04,Delayed
47,2025-06-02,2025-06-03,Delayed
48,2024-01-14,2024-01-15,Delayed
49,2024-06-27,2024-06-29,Delayed
50,2024-02-14,2024-02-15,Delayed
51,2025-10-17,2025-10-19,Delayed
52,2024-03-18,2024-03-18,On-Time
53,2025-09-01,2025-09-01,On-Time
54,2024-04-26,2024-04-28,Delayed
55,2024-12-25,2024-12-27,Delayed
56,2025-12-27,2025-12-28,Delayed
57,2024-03-16,2024-03-16,On-Time
58,2025-09-21,2025-09-21,On-Time
59,2023-07-17,2023-07-19,Delayed
60,2025-11-24,2025-11-26,Delayed
61,2022-09-24,2022-09-24,On-Time
62,2024-08-21,2024-08-22,Delayed
63,2024-05-27,2024-05-27,On-Time
64,2024-06-20,2024-06-22,Delayed
65,2024-06-01,2024-06-01,On-Time
66,2023-02-07,2023-02-08,Delayed
67,2025-12-15,2025-12-16,Delayed
68,2022-08-28,2022-08-29,Delayed
69,2024-02-26,2024-02-27,Delayed
70,2025-04-18,2025-04-18,On-Time
71,2025-11-12,2025-11-12,On-Time
72,2024-11-01,2024-11-02,Delayed
73,2024-02-01,2024-02-02,Delayed
74,2023-10-22,2023-10-22,On-Time
75,2023-05-16,2023-05-17,Delayed
76,2025-08-27,2025-08-28,Delayed
77,2023-04-17,2023-04-18,Delayed
78,2023-06-22,2023-06-24,Delayed
79,2022-07-01,2022-07-02,Delayed
80,2025-08-25,2025-08-27,Delayed
81,2023-03-07,2023-03-07,On-Time
82,2022-12-24,2022-12-24,On-Time
83,2023-02-28,2023-03-01,Delayed
84,2023-12-19,2023-12-20,Delayed
85,2023-10-16,2023-10-16,On-Time
86,2025-11-06,2025-11-07,Delayed
87,2025-07-26,2025-07-28,Delayed
88,2024-01-08,2024-01-10,Delayed
89,2025-05-11,2025-05-13,Delayed
90,2023-12-21,2023-12-22,Delayed
91,2023-09-24,2023-09-26,Delayed
92,2023-12-31,2024-01-01,Delayed
93,2024-07-09,2024-07-10,Delayed
94,2025-10-20,2025-10-21,Delayed
95,2025-01-20,2025-01-20,On-Time
96,2024-06-19,2024-06-21,Delayed
97,2022-11-12,2022-11-14,Delayed
98,2025-05-16,2025-05-16,On-Time
99,2024-10-12,2024-10-13,Delayed
100,2022-08-06,2022-08-07,Delayed
101,2022-10-17,2022-10-19,Delayed
102,2022-10-13,2022-10-13,On-Time
103,2023-04-29,2023-04-30,Delayed
104,2025-02-01,2025-02-03,Delayed
105,2022-08-23,2022-08-23,On-Time
106,2024-08-26,2024-08-27,Delayed
107,2025-05-13,2025-05-13,On-Time
108,2022-08-06,2022-08-08,Delayed
109,2024-11-17,2024-11-17,On-Time
110,2023-08-31,2023-09-02,Delayed
111,2022-08-21,2022-08-21,On-Time
112,2022-04-02,2022-04-02,On-Time
113,2023-07-25,2023-07-26,Delayed
114,2025-09-22,2025-09-23,Delayed
115,2025-06-17,2025-06-17,On-Time
116,2025-02-18,2025-02-18,On-Time
117,2025-09-21,2025-09-22,Delayed
118,2025-08-03,2025-08-03,On-Time
119,2022-09-05,2022-09-05,On-Time
120,2023-09-10,2023-09-10,On-Time
121,2023-10-11,2023-10-12,Delayed
122,2022-10-11,2022-10-13,Delayed
123,2022-08-17,2022-08-18,Delayed
124,2023-10-21,2023-10-23,Delayed
125,2025-12-16,2025-12-16,On-Time
126,2025-10-17,2025-10-17,On-Time
127,2024-08-13,2024-08-14,Delayed
128,2022-09-30,2022-10-02,Delayed
129,2024-06-20,2024-06-21,Delayed
130,2022-01-15,2022-01-17,Delayed
131,2023-12-06,2023-12-06,On-Time
132,2022-11-15,2022-11-16,Delayed
133,2022-03-24,2022-03-24,On-Time
134,2025-08-25,2025-08-26,Delayed
135,2024-12-26,2024-12-26,On-Time
136,2024-11-17,2024-11-17,On-Time
137,2024-08-14,2024-08-14,On-Time
