order_item_id,order_id,product_id,seller_id,quantity,selling_price,discount,item_status,tax_amount,margin
1,1,113,4,1,4194.69,100.94,Cancelled,419.47,855.71
2,1,82,20,4,2681.94,745.89,Returned,268.19,-359.17
3,2,385,2,2,1795.53,472.1,Returned,179.55,-971.77
4,2,277,28,1,349.63,55.71,Delivered,34.96,-63.61
5,3,26,32,5,660.05,169.74,Delivered,66.0,-2584.43
6,4,347,15,5,2409.56,476.82,Returned,240.96,-514.45
7,5,105,3,4,622.42,26.34,Delivered,62.24,-2478.35
8,5,46,17,2,2908.28,428.07,Returned,290.83,-964.17
9,5,323,43,4,2523.75,98.33,Returned,252.38,1283.35
10,6,395,3,5,1928.84,44.29,Delivered,192.88,-1064.21
11,6,59,22,3,4318.03,493.58,Returned,431.8,2609.28
12,7,43,18,3,883.75,184.14,Returned,88.38,-1579.11
13,7,378,14,4,3419.1,800.68,Returned,341.91,1080.4
14,8,440,48,2,3355.1,1203.65,Returned,335.51,1838.31
15,8,360,46,5,2713.69,981.94,Delivered,271.37,-311.33
16,9,279,42,1,3489.96,553.79,Delivered,349.0,1464.42
17,10,432,42,4,1975.95,643.55,Delivered,197.6,179.76
18,10,424,34,1,3224.08,1102.27,Cancelled,322.41,1206.66
19,10,355,40,2,522.35,129.08,Cancelled,52.24,-1153.57
20,11,4,17,2,2163.16,347.26,Delivered,216.32,-1752.07
21,11,355,32,4,493.06,158.37,Cancelled,49.31,-1182.86
22,11,18,45,1,3195.92,612.92,Delivered,319.59,846.79
23,12,269,13,5,4024.1,204.13,Returned,402.41,1446.86
24,13,220,39,5,482.64,126.66,Delivered,48.26,371.72
25,13,324,49,2,2470.03,300.32,Delivered,247.0,1443.4
26,14,161,9,1,3598.28,588.67,Delivered,359.83,24.94
27,14,110,50,1,1303.13,277.35,Delivered,130.31,834.22
28,15,140,33,5,1913.39,162.25,Returned,191.34,964.79
29,16,2,29,4,961.12,20.64,Returned,96.11,-822.64
30,17,243,20,4,1963.66,667.64,Returned,196.37,-250.7
31,17,488,49,1,4695.73,13.15,Cancelled,469.57,2193.56
32,18,113,27,2,3867.54,428.09,Returned,386.75,528.56
33,19,438,48,3,1692.36,264.5,Delivered,169.24,824.36
34,19,499,24,3,1815.5,458.81,Cancelled,181.55,-689.69
35,19,32,43,1,2631.6,330.02,Returned,263.16,489.05
36,20,79,43,5,221.67,43.52,Delivered,22.17,-789.93
37,20,259,41,3,374.1,65.83,Cancelled,37.41,-1109.19
38,20,251,2,1,3346.23,606.78,Cancelled,334.62,205.99
39,21,49,2,3,266.68,19.05,Cancelled,26.67,-3005.74
40,21,17,7,5,3629.23,895.93,Delivered,362.92,1046.14
41,22,319,20,2,1352.36,310.3,Cancelled,135.24,1181.34
42,22,473,16,5,791.6,90.42,Returned,79.16,293.75
43,23,414,9,5,4202.5,382.83,Returned,420.25,2173.91
44,24,46,2,4,2386.94,949.41,Returned,238.69,-1485.51
45,25,296,31,3,2718.33,409.74,Delivered,271.83,2408.79
46,25,243,17,4,2366.37,264.93,Delivered,236.64,152.01
47,26,130,9,4,3661.68,79.2,Returned,366.17,852.71
48,27,381,17,4,3327.31,542.89,Returned,332.73,2944.46
49,27,496,5,3,630.34,162.5,Cancelled,63.03,-1029.78
50,27,423,41,5,3459.46,675.02,Delivered,345.95,2787.91
51,28,181,19,2,1241.42,354.49,Delivered,124.14,-473.82
52,28,18,13,1,3382.95,425.89,Cancelled,338.3,1033.82
53,29,301,48,1,3756.38,494.94,Cancelled,375.64,1113.73
54,30,337,46,4,3142.0,707.57,Cancelled,314.2,211.48
55,31,476,23,5,2332.44,718.9,Cancelled,233.24,-681.09
56,31,24,7,5,1249.34,531.61,Returned,124.93,-316.46
57,31,356,38,3,2802.96,161.74,Returned,280.3,1907.18
58,32,95,7,4,4846.06,146.8,Returned,484.61,2625.36
59,32,280,32,3,2280.81,124.29,Cancelled,228.08,-1012.55
60,33,304,17,3,1208.66,202.12,Cancelled,120.87,-1754.09
61,33,20,28,1,1016.88,144.93,Delivered,101.69,-551.02
62,34,74,23,3,1583.62,576.97,Delivered,158.36,663.62
63,34,363,4,5,1625.77,674.77,Cancelled,162.58,-117.19
64,35,376,47,4,3339.99,1271.45,Cancelled,334.0,2807.29
65,35,434,36,4,3544.67,1436.8,Delivered,354.47,-279.09
66,35,499,22,5,1754.39,519.92,Delivered,175.44,-750.8
67,36,491,9,2,774.29,23.76,Delivered,77.43,-1360.76
68,36,301,46,2,3773.82,477.5,Returned,377.38,1131.17
69,36,358,19,3,2132.47,653.22,Returned,213.25,1669.52
70,37,206,30,4,1630.28,346.09,Returned,163.03,-1042.34
71,37,20,45,1,1038.67,123.14,Returned,103.87,-529.23
72,37,430,29,1,2015.18,540.29,Delivered,201.52,-1508.13
73,38,478,23,4,2444.6,984.6,Delivered,244.46,-63.44
74,38,496,32,1,752.3,40.54,Cancelled,75.23,-907.82
75,38,331,32,5,2541.58,899.48,Cancelled,254.16,285.63
76,39,396,10,5,3805.17,559.57,Returned,380.52,2843.12
77,40,288,30,3,3569.99,1280.85,Returned,357.0,87.13
