order_id,customer_id,order_date,payment_mode,order_status,order_channel
1,1808,2024-05-19,COD,Delivered,App
2,1688,2023-12-20,UPI,Delivered,Web
3,1967,2023-02-14,COD,Delivered,Web
4,1413,2022-12-09,Wallet,Delivered,Web
5,313,2022-06-12,UPI,Returned,Web
6,523,2024-03-22,COD,Delivered,App
7,177,2022-05-24,Wallet,Delivered,Web
8,856,2025-03-03,UPI,Returned,App
9,1724,2024-11-07,Wallet,Delivered,Web
10,1507,2023-07-24,UPI,Delivered,Web
11,1861,2023-10-07,UPI,Delivered,Web
12,94,2022-04-16,Wallet,Delivered,App
13,25,2024-12-08,Wallet,Delivered,Web
14,1383,2025-08-01,COD,Delivered,Web
15,1258,2024-12-24,Wallet,Delivered,App
16,932,2022-08-06,COD,Delivered,Web
17,571,2022-08-26,COD,Delivered,App
18,1341,2024-05-25,UPI,Delivered,App
19,1190,2022-11-13,UPI,Delivered,App
20,142,2022-11-26,UPI,Delivered,App
21,413,2025-01-05,Wallet,Delivered,Web
22,877,2023-11-24,Wallet,Delivered,Web
23,368,2024-10-23,COD,Delivered,App
24,407,2023-09-02,Wallet,Returned,Web
25,1194,2022-10-20,UPI,Delivered,Web
26,1084,2025-02-09,Wallet,Delivered,Web
27,949,2022-08-10,UPI,Cancelled,Web
28,701,2022-02-13,UPI,Delivered,Web
29,1144,2022-07-22,Wallet,Delivered,App
30,570,2023-07-24,Wallet,Delivered,App
31,1165,2024-05-07,UPI,Delivered,App
32,1477,2024-01-04,UPI,Delivered,Web
33,374,2024-07-01,COD,Delivered,Web
34,1219,2023-12-04,Wallet,Delivered,Web
35,1902,2025-12-23,Wallet,Delivered,Web
36,771,2022-08-18,UPI,Delivered,App
37,1906,2023-10-17,UPI,Delivered,App
38,1761,2023-05-06,Wallet,Delivered,Web
39,1000,2024-08-08,COD,Cancelled,Web
40,1595,2024-02-10,COD,Returned,App
41,201,2023-07-22,Wallet,Delivered,App
42,1660,2023-06-16,Wallet,Returned,App
43,163,2024-11-18,UPI,Delivered,Web
44,985,2023-10-15,COD,Returned,Web
45,1512,2024-07-01,Wallet,Delivered,Web
46,1762,2022-01-26,COD,Delivered,Web
47,1165,2025-05-28,COD,Delivered,Web
48,1816,2024-01-07,UPI,Delivered,App
49,1091,2024-06-22,UPI,Delivered,App
50,1715,2024-02-12,UPI,Delivered,Web
51,832,2025-10-11,COD,Delivered,App
52,1689,2024-03-12,UPI,Delivered,Web
53,1259,2025-08-27,UPI,Delivered,Web
54,1062,2024-04-22,COD,Delivered,App
55,961,2024-12-19,COD,Cancelled,Web
56,781,2025-12-25,Wallet,Delivered,App
57,584,2024-03-13,Wallet,Delivered,App
58,1507,2025-09-17,COD,Delivered,App
59,775,2023-07-13,Wallet,Delivered,Web
60,490,2025-11-21,Wallet,Delivered,Web
61,1712,2022-09-21,COD,Returned,Web
62,1759,2024-08-17,COD,Returned,Web
63,1123,2024-05-22,UPI,Delivered,Web
64,351,2024-06-13,COD,Delivered,Web
65,560,2024-05-26,UPI,Delivered,Web
66,470,2023-02-04,UPI,Delivered,App
67,659,2025-12-09,Wallet,Delivered,Web
68,890,2022-08-24,UPI,Delivered,App
69,566,2024-02-24,UPI,Delivered,Web
70,875,2025-04-14,Wallet,Delivered,Web
71,1988,2025-11-05,COD,Delivered,App
72,1036,2024-10-28,UPI,Delivered,Web
73,434,2024-01-25,UPI,Delivered,App
74,166,2023-10-15,UPI,Returned,Web
75,1568,2023-05-09,UPI,Delivered,Web
76,1040,2025-08-24,Wallet,Delivered,Web
77,352,2023-04-11,UPI,Delivered,Web
78,1581,2023-06-16,UPI,Delivered,Web
79,130,2022-06-28,Wallet,Delivered,App
80,1321,2025-08-19,Wallet,Delivered,App
81,351,2023-02-28,Wallet,Delivered,Web
82,501,2022-12-20,COD,Delivered,Web
83,1574,2023-02-23,COD,Returned,App
84,772,2023-12-13,Wallet,Delivered,App
85,757,2023-10-12,UPI,Delivered,Web
86,83,2025-11-01,UPI,Delivered,Web
87,337,2025-07-20,COD,Returned,App
88,1952,2024-01-01,COD,Delivered,Web
89,1473,2025-05-09,COD,Delivered,Web
90,1506,2023-12-18,Wallet,Returned,Web
91,1521,2023-09-21,UPI,Delivered,App
92,1466,2023-12-27,COD,Delivered,App
93,1657,2024-07-04,UPI,Delivered,Web
94,1673,2025-10-18,COD,Delivered,Web
95,613,2025-01-16,COD,Delivered,Web
96,1995,2024-06-13,UPI,Delivered,Web
97,1416,2022-11-10,UPI,Delivered,Web
98,1243,2025-05-10,COD,Delivered,App
99,294,2024-10-07,UPI,Delivered,Web
100,1323,2022-08-01,COD,Delivered,Web
101,1648,2022-10-10,Wallet,Delivered,Web
102,387,2022-10-10,Wallet,Delivered,Web
103,1433,2023-04-26,Wallet,Delivered,App
104,1658,2025-01-25,COD,Delivered,App
105,1255,2022-08-20,Wallet,Delivered,Web
106,253,2024-08-24,COD,Delivered,Web
107,422,2025-05-08,UPI,Delivered,Web
108,1188,2022-08-02,Wallet,Cancelled,Web
109,1776,2024-11-12,COD,Delivered,Web
110,358,2023-08-28,Wallet,Delivered,Web
111,1498,2022-08-16,COD,Delivered,Web
112,1243,2022-03-26,COD,Delivered,Web
113,940,2023-07-20,UPI,Delivered,App
114,1280,2025-09-20,UPI,Delivered,App
115,438,2025-06-11,UPI,Delivered,Web
116,795,2025-02-14,Wallet,Delivered,App
117,1058,2025-09-17,COD,Delivered,Web
118,286,2025-07-27,UPI,Returned,Web
119,1140,2022-09-01,COD,Delivered,Web
120,62,2023-09-06,UPI,Cancelled,App
121,544,2023-10-08,Wallet,Delivered,Web
122,411,2022-10-09,UPI,Delivered,App
123,1297,2022-08-15,UPI,Delivered,Web
124,505,2023-10-17,COD,Delivered,App
125,522,2025-12-09,Wallet,Delivered,App
126,1923,2025-10-13,UPI,Delivered,App
127,1945,2024-08-08,UPI,Delivered,App
128,591,2022-09-25,UPI,Delivered,App
129,1001,2024-06-18,UPI,Delivered,App
130,1186,2022-01-08,COD,Returned,App
131,727,2023-12-03,UPI,Delivered,Web
132,899,2022-11-09,Wallet,Cancelled,Web
133,1503,2022-03-18,COD,Delivered,App
134,1007,2025-08-22,UPI,Cancelled,App
135,1103,2024-12-23,UPI,Delivered,App
136,1900,2024-11-15,Wallet,Delivered,App
137,486,2024-08-07,Wallet,Delivered,App
138,1806,2022-10-06,UPI,Delivered,App
139,1954,2022-05-22,UPI,Delivered,Web
140,410,2024-10-14,COD,Returned,Web
141,36,2024-12-23,Wallet,Delivered,Web
142,227,2025-02-16,COD,Delivered,Web
143,1151,2022-05-16,COD,Delivered,Web
144,155,2025-10-21,UPI,Returned,App
145,1526,2025-10-14,UPI,Cancelled,App
146,978,2022-10-01,COD,Delivered,App
147,130,2023-04-04,UPI,Delivered,Web
148,779,2024-08-07,UPI,Delivered,App
149,531,2025-06-05,Wallet,Cancelled,Web
150,1202,2024-09-05,Wallet,Delivered,App
151,461,2024-10-13,Wallet,Delivered,Web
152,467,2022-07-21,COD,Delivered,App
153,452,2024-11-14,UPI,Delivered,App
154,1683,2022-11-27,UPI,Cancelled,Web
155,429,2023-09-07,COD,Delivered,App
156,144,2023-10-10,UPI,Cancelled,App
157,334,2023-10-04,UPI,Returned,App
158,1995,2024-10-14,COD,Delivered,App
159,1016,2023-12-22,Wallet,Delivered,App
160,995,2022-12-11,Wallet,Delivered,App
161,488,2025-06-02,COD,Delivered,Web
162,1583,2025-12-22,Wallet,Delivered,Web
163,1295,2024-08-22,UPI,Delivered,App
164,1473,2025-12-14,COD,Delivered,Web
165,1380,2024-12-26,COD,Delivered,Web
166,439,2022-04-15,UPI,Delivered,Web
167,1116,2024-12-01,UPI,Delivered,App
168,1570,2024-10-27,COD,Delivered,App
169,1172,2024-05-05,COD,Delivered,Web
170,1439,2024-04-10,COD,Delivered,Web
171,142,2022-04-06,UPI,Delivered,App
172,1708,2022-09-26,COD,Cancelled,Web
173,122,2025-10-10,UPI,Delivered,App
174,194,2022-02-27,Wallet,Delivered,App
175,956,2022-11-04,COD,Delivered,Web
176,665,2023-11-21,COD,Cancelled,App
177,1359,2022-09-23,COD,Delivered,App
178,328,2025-08-16,Wallet,Delivered,Web
179,1124,2025-02-21,UPI,Delivered,App
180,455,2024-12-27,UPI,Delivered,Web
181,113,2024-11-17,Wallet,Delivered,Web
182,1835,2023-07-22,COD,Cancelled,Web
183,799,2024-04-01,UPI,Delivered,App
184,1199,2022-11-09,COD,Delivered,App
185,1510,2024-04-13,Wallet,Delivered,Web
186,435,2025-05-28,COD,Returned,App
187,892,2025-04-26,Wallet,Cancelled,Web
188,564,2025-04-16,COD,Delivered,App
189,1861,2022-10-09,Wallet,Delivered,Web
190,1918,2022-02-06,Wallet,Delivered,Web
191,392,2022-05-09,Wallet,Delivered,Web
192,1077,2022-04-13,COD,Delivered,App
193,1562,2025-01-10,COD,Delivered,Web
194,1662,2023-11-20,Wallet,Delivered,App
195,1542,2024-10-21,Wallet,Delivered,Web
196,585,2023-10-28,UPI,Returned,Web
197,1770,2023-09-27,UPI,Delivered,Web
198,515,2025-02-10,Wallet,Delivered,App
199,1664,2024-08-02,Wallet,Delivered,App
200,1444,2025-03-02,UPI,Delivered,App
201,1320,2023-06-27,Wallet,Cancelled,App
202,172,2025-07-20,Wallet,Returned,Web
