order_item_id,return_reason,return_date,refund_amount
2,Damaged,2024-05-26,2413.746
3,Wrong Item,2023-12-24,1615.977
6,Wrong Item,2022-12-15,2168.604
8,No Longer Needed,2022-06-15,2617.452
9,Damaged,2022-06-20,2271.375
11,No Longer Needed,2024-04-01,3886.227
12,No Longer Needed,2022-06-01,795.375
13,Wrong Item,2022-06-01,3077.19
14,No Longer Needed,2025-03-08,3019.59
23,Wrong Item,2022-04-26,3621.69
28,No Longer Needed,2024-12-28,1722.0510000000002
29,No Longer Needed,2022-08-14,865.008
30,Wrong Item,2022-09-01,1767.294
32,Wrong Item,2024-05-29,3480.786
35,Wrong Item,2022-11-20,2368.44
42,Damaged,2023-11-26,712.44
43,No Longer Needed,2024-10-29,3782.25
44,Wrong Item,2023-09-06,2148.246
47,No Longer Needed,2025-02-16,3295.5119999999997
48,No Longer Needed,2022-08-19,2994.579
56,Damaged,2024-05-10,1124.406
57,No Longer Needed,2024-05-17,2522.664
58,Wrong Item,2024-01-12,4361.454000000001
68,Wrong Item,2022-08-21,3396.438
69,Damaged,2022-08-21,1919.223
70,No Longer Needed,2023-10-19,1467.252
71,Wrong Item,2023-10-20,934.8030000000001
76,Wrong Item,2024-08-15,3424.6530000000002
77,Damaged,2024-02-18,3212.991
78,No Longer Needed,2024-02-18,3776.805
79,Wrong Item,2023-07-24,1922.4180000000001
81,Damaged,2023-06-20,1892.457
87,Wrong Item,2023-10-21,578.727
95,Wrong Item,2024-01-16,1616.607
97,Damaged,2024-01-11,1931.5890000000002
100,Damaged,2024-06-25,1183.68
106,Damaged,2025-08-30,1804.059
107,No Longer Needed,2024-04-25,3482.766
108,Wrong Item,2024-12-24,3219.732
109,No Longer Needed,2024-12-21,1844.8560000000002
113,Damaged,2024-03-16,2471.625
118,Damaged,2023-07-17,484.767
122,No Longer Needed,2022-09-24,470.61899999999997
123,Damaged,2022-09-23,1443.582
128,Damaged,2024-05-31,3129.8759999999997
129,No Longer Needed,2024-06-16,616.635
130,No Longer Needed,2024-06-23,2474.3340000000003
142,No Longer Needed,2025-04-16,1313.55
143,No Longer Needed,2025-04-21,2722.518
144,Damaged,2025-11-09,1806.759
